,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
10,0001079973-25-000655,1616156,"WEWARDS, INC.",7370.0,US,NV,LAS VEGAS,89102,3305 SPRING MOUNTAIN ROAD,SUITE 104,702-944-5599,US,NV,LAS VEGAS,89102,3305 SPRING MOUNTAIN ROAD,SUITE 104,US,NV,331230099,"GLOBAL ENTERTAINMENT CLUBS, INC.",20170227.0,4-NON,0,531.0,10-Q,2025-02-28,2025.0,Q3,2025-04-16,2025-04-16 15:59:00,0,1,wewa_10q_htm.xml,1,
11,0001558370-25-007025,1370450,"WILLDAN GROUP, INC.",8711.0,US,CA,ANAHEIM,92806,"2401 EAST KATELLA AVENUE, SUITE 300",,800-424-9144,US,CA,ANAHEIM,92806,"2401 EAST KATELLA AVENUE, SUITE 300",,US,DE,141951112,,,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-09,2025-05-08 18:40:00,0,1,wldn-20250404x10q_htm.xml,1,
12,0001213900-25-044157,1739174,BIOMX INC.,2836.0,IL,,NESS ZIONA,7414003,22 EINSTEIN ST.,FLOOR 4,972 723942377,IL,,NESS ZIONA,7414003,22 EINSTEIN ST.,FLOOR 4,,,823364020,CHARDAN HEALTHCARE ACQUISITION CORP.,20180430.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-15 16:02:00,0,1,ea0241477-10q_biomxinc_htm.xml,1,
13,0000833444-25-000032,833444,JOHNSON CONTROLS INTERNATIONAL PLC,3585.0,IE,,CORK,00000,ONE ALBERT QUAY,ALBERT QUAY,414-524-1200,US,WI,MILWAUKEE,53201,5757 N. GREEN BAY AVENUE,P.O. BOX 591,IE,,0,TYCO INTERNATIONAL PLC,20141117.0,1-LAF,0,930.0,10-Q,2025-03-31,2025.0,Q2,2025-05-07,2025-05-07 11:28:00,0,1,jci-20250331_htm.xml,1,
14,0001034054-25-000004,1034054,SBA COMMUNICATIONS CORP,6798.0,US,FL,BOCA RATON,33487,8051 CONGRESS AVENUE,,5612269345,US,FL,BOCA RATON,33487,8051 CONGRESS AVENUE,,US,FL,650716501,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-01,2025-05-01 17:02:00,0,1,sbac-20250331x10q_htm.xml,1,
15,0001214659-25-006946,1434070,RIDGEWOOD ENERGY Y FUND LLC,1382.0,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,201-447-9000,US,TX,HOUSTON,77077,1254 ENCLAVE PARKWAY,,US,DE,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-05,2025-05-05 15:27:00,0,1,y41125010q_htm.xml,1,
16,0001641172-25-010349,2032379,WILLOW LANE ACQUISITION CORP.,6770.0,US,NY,NEW YORK,10107,250 WEST 57TH STREET,SUITE 415,6465653861,US,NY,NEW YORK,10107,250 WEST 57TH STREET,SUITE 415,KY,,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-14,2025-05-14 17:00:00,0,1,form10-q_htm.xml,1,
17,0000950170-25-065625,1881487,PROFRAC HOLDING CORP.,1389.0,US,TX,WILLOW PARK,76087,333 SHOPS BOULEVARD,SUITE 301,254-776-3722,US,TX,WILLOW PARK,76087,333 SHOPS BOULEVARD,SUITE 301,US,DE,0,,,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-07,2025-05-07 16:06:00,0,1,acdc-20250331_htm.xml,1,
18,0000785161-25-000021,785161,ENCOMPASS HEALTH CORP,8060.0,US,AL,BIRMINGHAM,35242,9001 LIBERTY PARKWAY,,205-967-7116,US,AL,BIRMINGHAM,35242,9001 LIBERTY PARKWAY,,US,DE,630860407,HEALTHSOUTH CORP,19950113.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-01,2025-05-01 15:26:00,0,1,ehc-20250331_htm.xml,1,
19,0001387467-25-000044,1387467,ALPHA & OMEGA SEMICONDUCTOR LTD,3674.0,US,CA,SUNNYVALE,94085,475 OAKMEAD PARKWAY,,408-830-9742,US,CA,SUNNYVALE,94085,475 OAKMEAD PARKWAY,,,,0,ALPHA & OMEGA SEMICONDUCTOR LTD,20070123.0,1-LAF,0,630.0,10-Q,2025-03-31,2025.0,Q3,2025-05-08,2025-05-08 16:02:00,0,1,aosl-20250331_htm.xml,1,
20,0000950170-25-062150,1620393,"NEXPOINT RESIDENTIAL TRUST, INC.",6798.0,US,TX,DALLAS,75201,300 CRESCENT COURT,SUITE 700,214-276-6300,US,TX,DALLAS,75201,300 CRESCENT COURT,SUITE 700,US,MD,471181359,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-02,2025-05-01 18:37:00,0,1,nxrt-20250331_htm.xml,1,
21,0001641172-25-010842,2011208,SAFE PRO GROUP INC.,3842.0,US,FL,AVENTURA,33160,"18305 BISCAYNE BLVD.,",SUITE 222,786-409-4030,US,FL,AVENTURA,33160,"18305 BISCAYNE BLVD.,",SUITE 222,US,DE,874227079,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-15 16:02:00,0,1,form10-q_htm.xml,1,
22,0001576427-25-000072,1576427,CRITEO S.A.,7311.0,FR,,PARIS,75009,32 RUE BLANCHE,,33175850939,FR,,PARIS,75009,32 RUE BLANCHE,,FR,,0,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-02,2025-05-02 16:05:00,0,1,crto-20250331_htm.xml,1,
23,0001640334-25-000825,1621221,"ARTELO BIOSCIENCES, INC.",2834.0,US,CA,SOLANA BEACH,92075,"505 LOMAS SANTA FE, SUITE 160",,858-925-7049,US,CA,SOLANA BEACH,92075,"505 LOMAS SANTA FE, SUITE 160",,US,NV,331220924,REACTIVE MEDICAL INC.,20170207.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-13,2025-05-13 08:23:00,0,1,artl_10q_htm.xml,1,
24,0001790340-25-000061,1790340,IMMUNEERING CORP,2834.0,US,MA,CAMBRIDGE,02142,"245 MAIN STREET, SECOND FLOOR",,617-500-8080,US,MA,CAMBRIDGE,02142,"245 MAIN STREET, SECOND FLOOR",,US,DE,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-05,2025-05-05 16:34:00,0,1,imrx-20250331_htm.xml,1,
25,0000950170-25-067836,1893262,"J.P. MORGAN REAL ESTATE INCOME TRUST, INC.",6798.0,US,NY,NEW YORK,10172,277 PARK AVENUE,,212-270-6000,US,NY,NEW YORK,10172,277 PARK AVENUE,,US,MD,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-09,2025-05-09 14:19:00,0,1,ck0001893262-20250331_htm.xml,1,
26,0000950170-25-070358,1880438,"AN2 THERAPEUTICS, INC.",2834.0,US,CA,MENLO PARK,94027,"1800 EL CAMINO REAL, SUITE D",,(650) 331-9090,US,CA,MENLO PARK,94027,"1800 EL CAMINO REAL, SUITE D",,US,DE,820606654,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-13,2025-05-13 16:13:00,0,1,antx-20250331_htm.xml,1,
27,0002027537-25-000006,2027537,GOLDMAN SACHS REAL ESTATE FINANCE TRUST INC,6798.0,US,NY,NEW YORK,10282,200 WEST STREET,,212.902.1000,US,NY,NEW YORK,10282,200 WEST STREET,,US,MD,992025085,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-14,2025-05-14 11:22:00,0,1,gsreft-20250331_htm.xml,1,
28,0000805928-25-000064,805928,"AXOGEN, INC.",3845.0,US,FL,ALACHUA,32615,13631 PROGRESS BLVD.,SUITE 400,(386) 462-6817,US,FL,ALACHUA,32615,13631 PROGRESS BLVD.,SUITE 400,US,MN,411301878,"AXOGEN, INC.",20111004.0,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-08,2025-05-08 16:38:00,0,1,axgn-20250331_htm.xml,1,
29,0001553350-25-000044,1870144,"CARDIO DIAGNOSTICS HOLDINGS, INC.",2835.0,US,IL,CHICAGO,60645,311 W. SUPERIOR STREET,SUITE 444,855-226-9991,US,IL,CHICAGO,60645,311 W. SUPERIOR STREET,SUITE 444,US,DE,870925574,MANA CAPITAL ACQUISITION CORP.,20210629.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-15 16:20:00,0,1,cdio_033125-10q_htm.xml,1,
30,0001213900-25-032210,1860484,RELATIVITY ACQUISITION CORP,6770.0,US,NV,LAS VEGAS,89619,"3753 HOWARD HUGHES PARKWAY, SUITE 200",,3107019520,US,NV,LAS VEGAS,89619,"3753 HOWARD HUGHES PARKWAY, SUITE 200",,US,DE,863244927,RELATIVITY ACQUISITION CORPORATION,20210504.0,4-NON,0,1231.0,10-K,2024-12-31,2024.0,FY,2025-04-15,2025-04-15 17:25:00,0,1,ea0238096-10k_relativity_htm.xml,1,
31,0001563190-25-000095,1563190,"COMPASS, INC.",7371.0,US,NY,NEW YORK,10011,110 FIFTH AVENUE,4TH FLOOR,646-982-0353,US,NY,NEW YORK,10011,110 FIFTH AVENUE,4TH FLOOR,US,DE,300751604,"URBAN COMPASS, INC.",20121128.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-09,2025-05-09 07:08:00,0,1,comp-20250331_htm.xml,1,
32,0001213900-25-027950,2017758,LINKHOME HOLDINGS INC.,6531.0,US,CA,IRVINE,92614,"EXECUTIVE CIRCLE, SUITE 100",,626-829-2666,US,CA,IRVINE,92614,"EXECUTIVE CIRCLE, SUITE 100",,US,NV,0,,,4-NON,0,1231.0,POS AM,2024-12-31,,,2025-04-02,2025-04-02 15:23:00,0,1,ea0203553-17_htm.xml,1,
33,0001829126-25-003812,1869601,EMBRACE CHANGE ACQUISITION CORP.,6770.0,US,CA,SAN DIEGO,92121,5186 CARROLL CANYON RD,,(858) 688-4965,US,CA,SAN DIEGO,92121,5186 CARROLL CANYON RD,,KY,,0,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-20,2025-05-20 08:22:00,0,1,embracechange_10q_htm.xml,1,
34,0000723646-25-000047,723646,FRANKLIN FINANCIAL SERVICES CORP /PA/,6022.0,US,PA,CHAMBERSBURG,17201-0819,20 S MAIN ST,P O BOX 6010,7172646116,US,PA,CHAMBERSBURG,17201-0819,20 SOUTH MAIN ST,PO BOX 6010,US,PA,251440803,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-15 16:06:00,0,1,fraf-20250331x10q_htm.xml,1,
35,0001104659-25-046836,1427570,RESHAPE LIFESCIENCES INC.,2834.0,US,CA,SAN CLEMENTE,92673,1001 CALLE AMANECER,,949-429-6680,US,CA,SAN CLEMENTE,92673,1001 CALLE AMANECER,,US,DE,0,OBALON THERAPEUTICS INC,20080220.0,4-NON,0,1231.0,S-4/A,2024-12-31,,,2025-05-09,2025-05-09 17:13:00,0,1,rsls-20241231xs4a_htm.xml,1,
36,0001018399-25-000056,1018399,ENTERPRISE BANCORP INC /MA/,6022.0,US,MA,LOWELL,01852,222 MERRIMACK ST,,9784599000,US,MA,LOWELL,01852,222 MERRIMACK ST,,US,MA,0,,,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-06,2025-05-06 15:22:00,0,1,ebtc-20250331_htm.xml,1,
37,0001683168-25-002614,1593184,"BIOREGENX, INC.",7370.0,US,TN,CHATTANOOGA,37421,7407 ZIEGLER ROAD,,(866) 770-4067,US,TN,CHATTANOOGA,37421,7407 ZIEGLER ROAD,,US,NV,462836541,"FINDIT, INC.",20210219.0,4-NON,0,1231.0,10-K,2024-12-31,2024.0,FY,2025-04-15,2025-04-15 17:26:00,0,1,bioregenx_i10k-123124_htm.xml,1,
38,0000950170-25-060207,1622194,"EASTERLY GOVERNMENT PROPERTIES, INC.",6798.0,US,DC,WASHINGTON,20006,2001 K STREET NW,SUITE 775 NORTH,(202) 595-9500,US,DC,WASHINGTON,20006,2001 K STREET NW,SUITE 775 NORTH,US,MD,472047728,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-04-29,2025-04-29 16:31:00,0,1,dea-20250331_htm.xml,1,
39,0001628280-25-022658,882796,BIOCRYST PHARMACEUTICALS INC,2836.0,US,NC,DURHAM,27703,4505 EMPEROR BOULEVARD,SUITE 200,919-859-1302,US,NC,DURHAM,27703,4505 EMPEROR BOULEVARD,SUITE 200,US,DE,621413174,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-06,2025-05-06 16:03:00,0,1,bcrx-20250331_htm.xml,1,
40,0001558370-25-005531,84246,RLI CORP,6331.0,US,IL,PEORIA,61615,9025 N. LINDBERGH DRIVE,,3096921000,US,IL,PEORIA,61615,9025 N. LINDBERGH DRIVE,,US,DE,370889946,,,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-04-25,2025-04-25 12:31:00,0,1,rli-20250331x10q_htm.xml,1,
41,0000010795-25-000039,10795,BECTON DICKINSON & CO,3841.0,US,NJ,FRANKLIN LAKES,07417-1880,ONE BECTON DR,,2018476800,US,NJ,FRANKLIN LAKE,07417,ONE BECTON DR,,US,NJ,220760120,,,1-LAF,0,930.0,10-Q,2025-03-31,2025.0,Q2,2025-05-01,2025-05-01 16:31:00,0,1,bdx-20250331_htm.xml,1,
42,0001558370-25-007109,1818844,"DOGWOOD THERAPEUTICS, INC.",2834.0,US,GA,ALPHARETTA,30009,44 MILTON AVENUE,,8666208655,US,GA,ALPHARETTA,30009,44 MILTON AVENUE,,US,DE,854314201,"VIRIOS THERAPEUTICS, INC.",20201217.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-09,2025-05-09 11:29:00,0,1,dwtx-20250331x10q_htm.xml,1,
43,0001090872-25-000021,1090872,"AGILENT TECHNOLOGIES, INC.",3826.0,US,CA,SANTA CLARA,95051,5301 STEVENS CREEK BLVD,,(408) 345-8886,US,CA,SANTA CLARA,95052-8059,"5301 STEVENS CREEK BLVD, MS 1A-LC",P.O. BOX 58059,US,DE,770518772,AGILENT TECHNOLOGIES INC,19990816.0,1-LAF,0,1031.0,10-Q,2025-04-30,2025.0,Q2,2025-06-02,2025-05-30 19:03:00,0,1,a-20250430_htm.xml,1,
44,0001558370-25-006741,1733294,GENERATION BIO CO.,2834.0,US,MA,CAMBRIDGE,02142,301 BINNEY STREET,,857-529-5908,US,MA,CAMBRIDGE,02142,301 BINNEY STREET,,US,DE,814301281,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-07,2025-05-07 16:15:00,0,1,gbio-20250331x10q_htm.xml,1,
45,0001558370-25-007547,707605,AMERISERV FINANCIAL INC /PA/,6021.0,US,PA,JOHNSTOWN,15907,MAIN & FRANKLIN STS,PO BOX 430,8145335300,US,PA,JOHNSTOWN,15907,MAIN & FRANKLIN STS,PO BOX 430,US,PA,251424278,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-13,2025-05-13 13:47:00,0,1,asrv-20250331x10q_htm.xml,1,
46,0001213900-25-047464,1173313,"ABVC BIOPHARMA, INC.",2834.0,US,CA,FREMONT,94538,44370 OLD WARM SPRINGS BLVD.,,510-668-0881,US,CA,FREMONT,94538,44370 OLD WARM SPRINGS BLVD.,,US,NV,260014658,AMERICAN BRIVISION (HOLDING) CORP,20160111.0,4-NON,0,1231.0,POS AM,2025-03-31,,,2025-05-27,2025-05-23 18:02:00,0,1,ea0243369-posam6_abvcbio_htm.xml,1,
47,0001170010-25-000024,1170010,CARMAX INC,5500.0,US,VA,RICHMOND,23238,12800 TUCKAHOE CREEK PARKWAY,,(804) 747-0422,US,VA,RICHMOND,23238,12800 TUCKAHOE CREEK PARKWAY,,US,VA,541821055,,,1-LAF,1,228.0,10-K,2025-02-28,2024.0,FY,2025-04-11,2025-04-11 11:17:00,0,1,kmx-20250228_htm.xml,1,
48,0001020569-25-000110,1020569,IRON MOUNTAIN INC,6798.0,US,NH,PORTSMOUTH,03801,"85 NEW HAMPSHIRE AVENUE, SUITE 150",PEASE INTERNATIONAL TRADEPORT,617-535-4781,US,PA,ROYERSFORD,19468,1101 ENTERPRISE DRIVE,,US,DE,232588479,IRON MOUNTAIN INC/PA,20000201.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-01,2025-05-01 16:02:00,0,1,irm-20250331_htm.xml,1,
49,0001760689-25-000018,1760689,"MICROVAST HOLDINGS, INC.",3690.0,US,TX,STAFFORD,77477,"12603 SOUTHWEST FREEWAY, SUITE 210",,(281) 491-9595,US,TX,STAFFORD,77477,"12603 SOUTHWEST FREEWAY, SUITE 210",,US,DE,832530757,TUSCAN HOLDINGS CORP.,20181204.0,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-12,2025-05-12 16:57:00,0,1,mvst-20250331_htm.xml,1,
50,0001400891-25-000035,1400891,"IHEARTMEDIA, INC.",4832.0,US,TX,SAN ANTONIO,78258,20880 STONE OAK PARKWAY,,210-822-2828,US,TX,SAN ANTONIO,78258,20880 STONE OAK PARKWAY,,,,260241222,CC MEDIA HOLDINGS INC,20090721.0,2-ACC,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-12,2025-05-12 16:05:00,0,1,ihrt-20250331_htm.xml,1,
51,0001477932-25-003880,1558740,WINVEST GROUP LTD,7812.0,US,NV,RENO,89501,50 WEST LIBERTY STREET,SUITE 880,(775) 996-0288,US,NV,RENO,89501,50 WEST LIBERTY STREET,SUITE 880,US,NV,272052033,ZYROX MINING INTERNATIONAL INC,20120921.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-16,2025-05-16 10:40:00,0,1,wnlv_10q_htm.xml,1,
52,0001641172-25-009976,1437517,"CYBERLOQ TECHNOLOGIES, INC.",7372.0,US,FL,SARASOTA,34231,4837 SWIFT ROAD SUITE 210-1,,612-961-4536,US,FL,SARASOTA,34231,4837 SWIFT ROAD SUITE 210-1,,,,262118480,ADVANCED CREDIT TECHNOLOGIES INC,20080612.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-13,2025-05-13 16:34:00,0,1,form10-q_htm.xml,1,
53,0001641172-25-009334,1956744,"SRM ENTERTAINMENT, INC.",3944.0,US,FL,WINTER PARK,32789,941 W. MORSE BLVD.,SUITE 100,407-230-8100,US,FL,WINTER PARK,32789,941 W. MORSE BLVD.,SUITE 100,US,NV,320686534,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-09,2025-05-08 18:08:00,0,1,form10-q_htm.xml,1,
54,0001803914-25-000087,1803914,"PLBY GROUP, INC.",5900.0,US,CA,LOS ANGELES,90024,10960 WILSHIRE BLVD,SUITE 2200,310-424-1800,US,CA,LOS ANGELES,90024,10960 WILSHIRE BLVD,SUITE 2200,US,DE,371958714,MOUNTAIN CREST ACQUISITION CORP.,20200219.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-15,2025-05-15 16:31:00,0,1,ply-20250331_htm.xml,1,
55,0001331463-25-000092,1331463,FEDERAL HOME LOAN BANK OF BOSTON,6111.0,US,MA,BOSTON,02199,800 BOYLSTON STREET,6TH FLOOR,617-292-9600,US,MA,BOSTON,02199,800 BOYLSTON STREET,6TH FLOOR,US,,46002575,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-08,2025-05-08 15:22:00,0,1,fhlbbost-20250331_htm.xml,1,
56,0001096906-25-000553,1630176,HEALTHY EXTRACTS INC.,2833.0,US,NV,HENDERSON,89011,7375 COMMERCIAL WAY,SUITE 125,702-505-0471,US,NV,HENDERSON,89011,7375 COMMERCIAL WAY,SUITE 125,US,NV,472594704,HEALTHLY EXTRACTS INC.,20210219.0,4-NON,0,1231.0,10-K/A,2024-12-31,2024.0,FY,2025-04-22,2025-04-21 19:02:00,0,1,hyex-20241231_htm.xml,1,
57,0000885590-25-000020,885590,BAUSCH HEALTH COMPANIES INC.,2834.0,CA,QC,QUEBEC,H7L 4A8,2150 ST. ELZEAR BLVD. WEST,LAVAL,514-744-6792,CA,QC,QUEBEC,H7L 4A8,2150 ST. ELZEAR BLVD. WEST,LAVAL,US,NJ,0,"VALEANT PHARMACEUTICALS INTERNATIONAL, INC.",20100928.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-01,2025-04-30 18:04:00,0,1,bhc-20250331_htm.xml,1,
58,0001096906-25-000593,1848672,GLIDELOGIC CORP.,7371.0,US,CA,CULVER CITY,90230,11264 PLAYA COURT,,(310) 397-2300,US,CA,CULVER CITY,90230,11264 PLAYA COURT,,US,NV,981575837,,,4-NON,0,131.0,10-K,2025-01-31,2024.0,FY,2025-04-25,2025-04-25 16:32:00,0,1,gdlg-20250131_htm.xml,1,
59,0000950170-25-071476,1825384,STONE POINT CREDIT CORP,,US,CT,GREENWICH,06830,20 HORSENECK LANE,,(203) 862-2900,US,CT,GREENWICH,06830,20 HORSENECK LANE,,US,DE,0,STONE POINT CAPITAL CREDIT LLC,20200918.0,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-14,2025-05-14 16:28:00,0,1,none-20250331_htm.xml,1,
60,0000950170-25-068858,56047,KIRBY CORP,4400.0,US,TX,HOUSTON,77007,55 WAUGH DRIVE SUITE 1000,,7134351000,US,TX,HOUSTON,77251,P.O. BOX 1745,,US,NV,741884980,KIRBY EXPLORATION CO INC,19900510.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-12,2025-05-12 12:22:00,0,1,kex-20250331_htm.xml,1,
61,0000950170-25-067040,1650648,"4D MOLECULAR THERAPEUTICS, INC.",2836.0,US,CA,EMERYVILLE,94608,5858 HORTON STREET #455,,5105052680,US,CA,EMERYVILLE,94608,5858 HORTON STREET #455,,US,DE,473506994,4D MOLECULAR THERAPEUTICS INC.,20200506.0,1-LAF,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-08,2025-05-08 16:22:00,0,1,fdmt-20250331_htm.xml,1,
62,0000950170-25-070325,1994702,"KYVERNA THERAPEUTICS, INC.",2836.0,US,CA,EMERYVILLE,94608,5980 HORTON STREET,SUITE 550,5106268331,US,CA,EMERYVILLE,94608,5980 HORTON STREET,SUITE 550,US,DE,831365441,,,4-NON,0,1231.0,10-Q,2025-03-31,2025.0,Q1,2025-05-13,2025-05-13 16:09:00,0,1,kytx-20250331_htm.xml,1,
